시군구코드|새주소_시도명|시군구명|MAPPING
11000|서울특별시||서울
11110|서울특별시|종로구|서울종로구
11140|서울특별시|중구|서울중구
11170|서울특별시|용산구|서울용산구
11200|서울특별시|성동구|서울성동구
11215|서울특별시|광진구|서울광진구
11230|서울특별시|동대문구|서울동대문구
11260|서울특별시|중랑구|서울중랑구
11290|서울특별시|성북구|서울성북구
11305|서울특별시|강북구|서울강북구
11320|서울특별시|도봉구|서울도봉구
11350|서울특별시|노원구|서울노원구
11380|서울특별시|은평구|서울은평구
11410|서울특별시|서대문구|서울서대문구
11440|서울특별시|마포구|서울마포구
11470|서울특별시|양천구|서울양천구
11500|서울특별시|강서구|서울강서구
11530|서울특별시|구로구|서울구로구
11545|서울특별시|금천구|서울금천구
11560|서울특별시|영등포구|서울영등포구
11590|서울특별시|동작구|서울동작구
11620|서울특별시|관악구|서울관악구
11650|서울특별시|서초구|서울서초구
11680|서울특별시|강남구|서울강남구
11710|서울특별시|송파구|서울송파구
11740|서울특별시|강동구|서울강동구
21000|부산직할시||부산
21110|부산직할시|중구|부산중구
21140|부산직할시|서구|부산서구
21170|부산직할시|동구|부산동구
21200|부산직할시|영도구|부산영도구
21230|부산직할시|부산진구|부산부산진구
21260|부산직할시|동래구|부산동래구
21290|부산직할시|남구|부산남구
21320|부산직할시|북구|부산북구
21350|부산직할시|해운대구|부산해운대구
21380|부산직할시|사하구|부산사하구
21410|부산직할시|금정구|부산금정구
21440|부산직할시|강서구|부산강서구
22000|대구직할시||대구
22110|대구직할시|중구|대구중구
22140|대구직할시|동구|대구동구
22170|대구직할시|서구|대구서구
22200|대구직할시|남구|대구남구
22230|대구직할시|북구|대구북구
22260|대구직할시|수성구|대구수성구
22290|대구직할시|달서구|대구달서구
23000|인천직할시||인천
23110|인천직할시|중구|인천중구
23140|인천직할시|동구|인천동구
23170|인천직할시|남구|인천미추홀구
23200|인천직할시|남동구|인천남동구
23260|인천직할시|서구|인천서구
