시군구CODE|시군구명|시도시군구
10001|전국|전국
11000|서울특별시|서울
11110|종로구|서울종로구
11140|중구|서울중구
11170|용산구|서울용산구
11200|성동구|서울성동구
11215|광진구|서울광진구
11230|동대문구|서울동대문구
11260|중랑구|서울중랑구
11290|성북구|서울성북구
11305|강북구|서울강북구
11320|도봉구|서울도봉구
11350|노원구|서울노원구
11380|은평구|서울은평구
11410|서대문구|서울서대문구
11440|마포구|서울마포구
11470|양천구|서울양천구
11500|강서구|서울강서구
11530|구로구|서울구로구
11545|금천구|서울금천구
11560|영등포구|서울영등포구
11590|동작구|서울동작구
11620|관악구|서울관악구
11650|서초구|서울서초구
11680|강남구|서울강남구
11710|송파구|서울송파구
11740|강동구|서울강동구
21000|부산직할시|부산
22000|대구직할시|대구
23000|인천직할시|인천
23170|남구|인천미추홀구
24000|광주직할시|광주
25000|대전직할시|대전
26000|부산광역시|부산
26110|중구|부산중구
26140|서구|부산서구
26170|동구|부산동구
26200|영도구|부산영도구
26230|부산진구|부산부산진구
26260|동래구|부산동래구
26290|남구|부산남구
26320|북구|부산북구
26350|해운대구|부산해운대구
26380|사하구|부산사하구
26410|금정구|부산금정구
26440|강서구|부산강서구
26470|연제구|부산연제구
26500|수영구|부산수영구
26530|사상구|부산사상구
26710|기장군|부산기장군
27000|대구광역시|대구
27110|중구|대구중구
27140|동구|대구동구
27170|서구|대구서구
27200|남구|대구남구
27230|북구|대구북구
27260|수성구|대구수성구
27290|달서구|대구달서구
27710|달성군|대구달성군
28000|인천광역시|인천
28110|중구|인천중구
28140|동구|인천동구
28170|남구|인천미추홀구
28177|미추홀구|인천미추홀구
28185|연수구|인천연수구
28200|남동구|인천남동구
28237|부평구|인천부평구
28245|계양구|인천계양구
28260|서구|인천서구
28710|강화군|인천강화군
28720|옹진군|인천옹진군
29000|광주광역시|광주
29110|동구|광주동구
29140|서구|광주서구
29155|남구|광주남구
29170|북구|광주북구
29200|광산구|광주광산구
30000|대전광역시|대전
30110|동구|대전동구
30140|중구|대전중구
30170|서구|대전서구
30200|유성구|대전유성구
30230|대덕구|대전대덕구
31000|울산광역시|울산
31110|중구|울산중구
31140|남구|울산남구
31170|동구|울산동구
31200|북구|울산북구
31710|울주군|울산울주군
36000|세종특별자치시|세종
36110|세종특별자치시|세종
41000|경기도|경기
41110|수원시|경기수원시
41111|수원시 장안구|경기수원시장안구
41113|수원시 권선구|경기수원시권선구
41115|수원시 팔달구|경기수원시팔달구
41117|수원시 영통구|경기수원시영통구
41130|성남시|경기성남시
41131|성남시 수정구|경기성남시수정구
41133|성남시 중원구|경기성남시중원구
41135|성남시 분당구|경기성남시분당구
41150|의정부시|경기의정부시
41170|안양시|경기안양시
41171|안양시 만안구|경기안양시만안구
41173|안양시 동안구|경기안양시동안구
41190|부천시|경기부천시
41210|광명시|경기광명시
41220|평택시|경기평택시
41250|동두천시|경기동두천시
41270|안산시|경기안산시
41271|안산시 상록구|경기안산시상록구
