시군구코드|새주소_시도명|시군구명|MAPPING
11000|서울특별시||서울
11110|서울특별시|종로구|도심권
11140|서울특별시|중구|도심권
11170|서울특별시|용산구|도심권
11200|서울특별시|성동구|동북권
11215|서울특별시|광진구|동북권
11230|서울특별시|동대문구|동북권
11260|서울특별시|중랑구|동북권
11290|서울특별시|성북구|동북권
11305|서울특별시|강북구|동북권
11320|서울특별시|도봉구|동북권
11350|서울특별시|노원구|동북권
11380|서울특별시|은평구|서북권
11410|서울특별시|서대문구|서북권
11440|서울특별시|마포구|서북권
11470|서울특별시|양천구|서남권
11500|서울특별시|강서구|서남권
11530|서울특별시|구로구|서남권
11545|서울특별시|금천구|서남권
11560|서울특별시|영등포구|서남권
11590|서울특별시|동작구|서남권
11620|서울특별시|관악구|서남권
11650|서울특별시|서초구|동남권
11680|서울특별시|강남구|동남권
11710|서울특별시|송파구|동남권
11740|서울특별시|강동구|동남권
21000|부산직할시||부산
21110|부산직할시|중구|중부산권
21140|부산직할시|서구|중부산권
21170|부산직할시|동구|중부산권
21200|부산직할시|영도구|중부산권
21230|부산직할시|부산진구|중부산권
21260|부산직할시|동래구|동부산권
21290|부산직할시|남구|중부산권
21320|부산직할시|북구|서부산권
21350|부산직할시|해운대구|동부산권
21380|부산직할시|사하구|서부산권
21410|부산직할시|금정구|동부산권
21440|부산직할시|강서구|서부산권
22000|대구직할시||대구
22110|대구직할시|중구|대구
22140|대구직할시|동구|대구
22170|대구직할시|서구|대구
22200|대구직할시|남구|대구
22230|대구직할시|북구|대구
22260|대구직할시|수성구|대구
22290|대구직할시|달서구|대구
23000|인천직할시||인천
23110|인천직할시|중구|인천
23140|인천직할시|동구|인천
23170|인천직할시|남구|인천
23200|인천직할시|남동구|인천
23260|인천직할시|서구|인천
24000|광주직할시||광주
24110|광주직할시|동구|광주
24140|광주직할시|서구|광주
24170|광주직할시|북구|광주
24200|광주직할시|광산구|광주
25000|대전직할시||대전
25110|대전직할시|동구|대전
25140|대전직할시|중구|대전
25170|대전직할시|서구|대전
25200|대전직할시|유성구|대전
25230|대전직할시|대덕구|대전
26000|부산광역시||부산
26110|부산광역시|중구|중부산권
26140|부산광역시|서구|중부산권
26170|부산광역시|동구|중부산권
26200|부산광역시|영도구|중부산권
26230|부산광역시|부산진구|중부산권
26260|부산광역시|동래구|동부산권
26290|부산광역시|남구|중부산권
26320|부산광역시|북구|서부산권
26350|부산광역시|해운대구|동부산권
26380|부산광역시|사하구|서부산권
26410|부산광역시|금정구|동부산권
26440|부산광역시|강서구|서부산권
26470|부산광역시|연제구|중부산권
26500|부산광역시|수영구|중부산권
26530|부산광역시|사상구|서부산권
26710|부산광역시|기장군|동부산권
27000|대구광역시||대구
27110|대구광역시|중구|대구
27140|대구광역시|동구|대구
27170|대구광역시|서구|대구
27200|대구광역시|남구|대구
27230|대구광역시|북구|대구
27260|대구광역시|수성구|대구
27290|대구광역시|달서구|대구
27710|대구광역시|달성군|대구
28000|인천광역시||인천
28110|인천광역시|중구|인천
28140|인천광역시|동구|인천
28170|인천광역시|남구|인천
28177|인천광역시|미추홀구|인천
28185|인천광역시|연수구|인천
28200|인천광역시|남동구|인천
28237|인천광역시|부평구|인천
28245|인천광역시|계양구|인천
28260|인천광역시|서구|인천
28710|인천광역시|강화군|인천
28720|인천광역시|옹진군|인천
29000|광주광역시||광주
29110|광주광역시|동구|광주
29140|광주광역시|서구|광주
29155|광주광역시|남구|광주
29170|광주광역시|북구|광주
29200|광주광역시|광산구|광주
30000|대전광역시||대전
30110|대전광역시|동구|대전
30140|대전광역시|중구|대전
30170|대전광역시|서구|대전
30200|대전광역시|유성구|대전
30230|대전광역시|대덕구|대전
31000|울산광역시||울산
31110|울산광역시|중구|울산
31140|울산광역시|남구|울산
31170|울산광역시|동구|울산
31200|울산광역시|북구|울산
31710|울산광역시|울주군|울산
36000|세종특별자치시||세종
36110|세종특별자치시||세종
41000|경기도||경기
41110|경기도|수원시|경부2권
41111|경기도|수원시 장안구|경부2권
41113|경기도|수원시 권선구|경부2권
41115|경기도|수원시 팔달구|경부2권
41117|경기도|수원시 영통구|경부2권
41130|경기도|성남시|경부1권
41131|경기도|성남시 수정구|경부1권
41133|경기도|성남시 중원구|경부1권
41135|경기도|성남시 분당구|경부1권
41150|경기도|의정부시|경원권
41170|경기도|안양시|경부1권
41171|경기도|안양시 만안구|경부1권
41173|경기도|안양시 동안구|경부1권
41190|경기도|부천시|서해안권
41191|경기도|부천시 중구|서해안권
41193|경기도|부천시 남구|서해안권
41195|경기도|부천시 원미구|서해안권
41197|경기도|부천시 소사구|서해안권
41199|경기도|부천시 오정구|서해안권
41210|경기도|광명시|서해안권
41220|경기도|평택시|서해안권
41250|경기도|동두천시|경원권
41270|경기도|안산시|서해안권
41271|경기도|안산시 상록구|서해안권
41273|경기도|안산시 단원구|서해안권
41280|경기도|고양시|경의권
41281|경기도|고양시 덕양구|경의권
41285|경기도|고양시 일산동구|경의권
41287|경기도|고양시 일산서구|경의권
41290|경기도|과천시|경부1권
41310|경기도|구리시|동부1권
41330|경기도|평택시|서해안권
41360|경기도|남양주시|동부1권
41370|경기도|오산시|서해안권
41390|경기도|시흥시|서해안권
41410|경기도|군포시|경부1권
41430|경기도|의왕시|경부1권
41450|경기도|하남시|동부1권
41460|경기도|용인시|경부2권
41461|경기도|용인시 처인구|경부2권
41463|경기도|용인시 기흥구|경부2권
41465|경기도|용인시 수지구|경부2권
41480|경기도|파주시|경의권
41500|경기도|이천시|동부2권
41550|경기도|안성시|경부2권
41570|경기도|김포시|경의권
41590|경기도|화성시|서해안권
41610|경기도|광주시|동부1권
41630|경기도|양주시|경원권
41650|경기도|포천시|경원권
41670|경기도|여주시|동부2권
41710|경기도|양주군|경원권
41720|경기도|남양주군|동부1권
41730|경기도|여주군|동부2권
41740|경기도|평택군|서해안권
41750|경기도|화성군|서해안권
41760|경기도|시흥군|서해안권
41770|경기도|파주군|경의권
41790|경기도|광주군|동부1권
41800|경기도|연천군|경원권
41810|경기도|포천군|경원권
41820|경기도|가평군|동부2권
