지역상권구분CODE|상권시도구분CODE|광역상권구분CODE|하위상권구분CODE|지역상권명|상권시도명|광역상권명|하위상권명|시군구CODE|합계행여부|지역구분원천(1)|지역구분원천(2)
000000000|00|00|00000|전국  전체|전국||전체||1|전국|합계
010000000|01|00|00000|서울  전체|서울||전체||1|서울|계
011000000|01|10|00000|서울 도심 전체|서울|도심|전체||1|서울|소계(도심지역)
0110A001|01|10|A001|서울 도심 광화문|서울|도심|광화문|11110|0|서울|광화문
0110A002|01|10|A002|서울 도심 남대문|서울|도심|남대문|11140|0|서울|남대문
0110A003|01|10|A003|서울 도심 동대문|서울|도심|동대문|11140|0|서울|동대문
0110A004|01|10|A004|서울 도심 명동|서울|도심|명동|11140|0|서울|명동
0110A005|01|10|A005|서울 도심 시청|서울|도심|시청|11140|0|서울|시청
0110A006|01|10|A006|서울 도심 을지로|서울|도심|을지로|11140|0|서울|을지로
0110A007|01|10|A007|서울 도심 종로|서울|도심|종로|11110|0|서울|종로
0110A008|01|10|A008|서울 도심 충무로|서울|도심|충무로|11140|0|서울|충무로
012000000|01|20|00000|서울 강남 전체|서울|강남|전체||1|서울|소계(강남지역)
0120A009|01|20|A009|서울 강남 강남대로|서울|강남|강남대로|11680|0|서울|강남대로
0120A010|01|20|A010|서울 강남 교대역|서울|강남|교대역|11650|0|서울|교대역
0120A011|01|20|A011|서울 강남 남부터미널|서울|강남|남부터미널|11650|0|서울|남부터미널
0120A012|01|20|A012|서울 강남 논현역|서울|강남|논현역|11680|0|서울|논현역
0120A013|01|20|A013|서울 강남 도산대로|서울|강남|도산대로|11680|0|서울|도산대로
0120A015|01|20|A015|서울 강남 신사역|서울|강남|신사역|11680|0|서울|신사역
0120A020|01|20|A020|서울 강남 테헤란로|서울|강남|테헤란로|11680|0|서울|테헤란로
013000000|01|30|00000|서울 여의도마포 전체|서울|여의도마포|전체||1|서울|소계(여의도마포지역)
0130A022|01|30|A022|서울 여의도마포 공덕역|서울|여의도마포|공덕역|11440|0|서울|공덕역
0130A023|01|30|A023|서울 여의도마포 당산역|서울|여의도마포|당산역|11560|0|서울|당산역
0130A024|01|30|A024|서울 여의도마포 여의도|서울|여의도마포|여의도|11560|0|서울|여의도
0130A025|01|30|A025|서울 여의도마포 영등포역|서울|여의도마포|영등포역|11560|0|서울|영등포역
014000000|01|40|00000|서울 기타 전체|서울|기타|전체||1|서울|소계(기타지역)
0140A029|01|40|A029|서울 기타 홍대/합정|서울|기타|홍대/합정|11440|0|서울|홍대/합정
0140A040|01|40|A040|서울 기타 목동|서울|기타|목동|11470|0|서울|목동
0140A043|01|40|A043|서울 기타 사당|서울|기타|사당|11590|0|서울|사당
0140A048|01|40|A048|서울 기타 숙명여대|서울|기타|숙명여대|11170|0|서울|숙명여대
0140A053|01|40|A053|서울 기타 용산역|서울|기타|용산역|11170|0|서울|용산역
0140A055|01|40|A055|서울 기타 잠실/송파|서울|기타|잠실/송파|11710|0|서울|잠실/송파
0140A056|01|40|A056|서울 기타 잠실새내역|서울|기타|잠실새내역|11710|0|서울|잠실새내역
0140A057|01|40|A057|서울 기타 장안동|서울|기타|장안동|11230|0|서울|장안동
0140A058|01|40|A058|서울 기타 천호|서울|기타|천호|11740|0|서울|천호
0140A061|01|40|A061|서울 기타 화곡|서울|기타|화곡|11500|0|서울|화곡
020000000|02|00|00000|부산  전체|부산||전체||1|부산|계
0200B003|02|00|B003|부산  남포동|부산||남포동|26110|0|부산|남포동
0200B010|02|00|B010|부산  부산역|부산||부산역|26170|0|부산|부산역
0200B011|02|00|B011|부산  부전시장|부산||부전시장|26230|0|부산|부전시장
0200B014|02|00|B014|부산  서면/전포|부산||서면/전포|26230|0|부산|서면/전포
0200B018|02|00|B018|부산  연산로터리|부산||연산로터리|26470|0|부산|연산로터리
0200B023|02|00|B023|부산  현대백화점주변|부산||현대백화점주변|26170|0|부산|현대백화점주변
030000000|03|00|00000|대구  전체|대구||전체||1|대구|계
0300C004|03|00|C004|대구  동대구|대구||동대구|27140|0|대구|동대구
0300C005|03|00|C005|대구  동성로중심|대구||동성로중심|27110|0|대구|동성로중심
0300C011|03|00|C011|대구  수성범어|대구||수성범어|27260|0|대구|수성범어
040000000|04|00|00000|인천  전체|인천||전체||1|인천|계
0400D003|04|00|D003|인천  구월|인천||구월|28200|0|인천|구월
0400D004|04|00|D004|인천  부평|인천||부평|28237|0|인천|부평
0400D012|04|00|D012|인천  주안|인천||주안|28177|0|인천|주안
050000000|05|00|00000|광주  전체|광주||전체||1|광주|계
0500E001|05|00|E001|광주  금남로/충장로|광주||금남로/충장로|29110|0|광주|금남로/충장로
0500E004|05|00|E004|광주  상무지구|광주||상무지구|29140|0|광주|상무지구
060000000|06|00|00000|대전  전체|대전||전체||1|대전|계
0600F005|06|00|F005|대전  둔산|대전||둔산|30170|0|대전|둔산
0600F008|06|00|F008|대전  서대전네거리|대전||서대전네거리|30140|0|대전|서대전네거리
0600F011|06|00|F011|대전  원도심|대전||원도심|30140|0|대전|원도심
070000000|07|00|00000|울산  전체|울산||전체||1|울산|계
0700G001|07|00|G001|울산  삼산동|울산||삼산동|31140|0|울산|삼산동
0700G004|07|00|G004|울산  신정동|울산||신정동|31140|0|울산|신정동
090000000|09|00|00000|경기  전체|경기||전체||1|경기|계
0900I023|09|00|I023|경기  분당역세권|경기||분당역세권|41135|0|경기|분당역세권
0900I049|09|00|I049|경기  인계동|경기||인계동|41115|0|경기|인계동
0900I051|09|00|I051|경기  일산라페스타|경기||일산라페스타|41285|0|경기|일산라페스타
0900I057|09|00|I057|경기  평촌범계|경기||평촌범계|41173|0|경기|평촌범계
100000000|10|00|00000|강원  전체|강원||전체||1|강원|계
110000000|11|00|00000|충북  전체|충북||전체||1|충북|계
120000000|12|00|00000|충남  전체|충남||전체||1|충남|계
130000000|13|00|00000|전북  전체|전북||전체||1|전북|계
140000000|14|00|00000|전남  전체|전남||전체||1|전남|계
150000000|15|00|00000|경북  전체|경북||전체||1|경북|계
160000000|16|00|00000|경남  전체|경남||전체||1|경남|계
170000000|17|00|00000|제주  전체|제주||전체||1|제주|계
0120A062|01|20|A062|서울 강남 방배역/내방역|서울|강남|방배역/내방역|11650|0|서울|방배역/내방역
0120A014|01|20|A014|서울 강남 서래마을|서울|강남|서래마을|11650|0|서울|서래마을
0120A016|01|20|A016|서울 강남 압구정|서울|강남|압구정|11680|0|서울|압구정
0120A017|01|20|A017|서울 강남 양재말죽거리|서울|강남|양재말죽거리|11650|0|서울|양재말죽거리
0120A018|01|20|A018|서울 강남 양재역|서울|강남|양재역|11650|0|서울|양재역
0120A019|01|20|A019|서울 강남 청담|서울|강남|청담|11680|0|서울|청담
0120A063|01|20|A063|서울 강남 학동/강남구청역|서울|강남|학동/강남구청역|11680|0|서울|학동/강남구청역
013100000|01|31|00000|서울 영등포신촌 전체|서울|영등포신촌|전체||1|서울|소계(영등포신촌지역)
0131A022|01|31|A022|서울 영등포신촌 공덕역|서울|영등포신촌|공덕역|11440|0|서울|공덕역
0131A023|01|31|A023|서울 영등포신촌 당산역|서울|영등포신촌|당산역|11560|0|서울|당산역
0131A025|01|31|A025|서울 영등포신촌 영등포역|서울|영등포신촌|영등포역|11560|0|서울|영등포역
0131A026|01|31|A026|서울 영등포신촌 동교/연남|서울|영등포신촌|동교/연남|11440|0|서울|동교/연남
0131A027|01|31|A027|서울 영등포신촌 망원역|서울|영등포신촌|망원역|11440|0|서울|망원역
0131A028|01|31|A028|서울 영등포신촌 신촌/이대|서울|영등포신촌|신촌/이대|11410|0|서울|신촌/이대
0131A029|01|31|A029|서울 영등포신촌 홍대/합정|서울|영등포신촌|홍대/합정|11440|0|서울|홍대/합정
0140A030|01|40|A030|서울 기타 가락시장|서울|기타|가락시장|11710|0|서울|가락시장
0140A031|01|40|A031|서울 기타 건대입구|서울|기타|건대입구|11215|0|서울|건대입구
0140A032|01|40|A032|서울 기타 경희대|서울|기타|경희대|11230|0|서울|경희대
0140A033|01|40|A033|서울 기타 구로디지털단지역|서울|기타|구로디지털단지역|11530|0|서울|구로디지털단지역
0140A064|01|40|A064|서울 기타 구의역|서울|기타|구의역|11215|0|서울|구의역
0140A034|01|40|A034|서울 기타 군자|서울|기타|군자|11215|0|서울|군자
0140A035|01|40|A035|서울 기타 노량진|서울|기타|노량진|11590|0|서울|노량진
0140A037|01|40|A037|서울 기타 독산/시흥|서울|기타|독산/시흥|11545|0|서울|독산/시흥
0140A038|01|40|A038|서울 기타 뚝섬|서울|기타|뚝섬|11200|0|서울|뚝섬
0140A041|01|40|A041|서울 기타 미아사거리|서울|기타|미아사거리|11305|0|서울|미아사거리
0140A042|01|40|A042|서울 기타 불광역|서울|기타|불광역|11380|0|서울|불광역
0140A044|01|40|A044|서울 기타 상계역|서울|기타|상계역|11350|0|서울|상계역
0140A065|01|40|A065|서울 기타 상봉역|서울|기타|상봉역|11260|0|서울|상봉역
0140A045|01|40|A045|서울 기타 서울대입구역|서울|기타|서울대입구역|11620|0|서울|서울대입구역
0140A046|01|40|A046|서울 기타 성신여대|서울|기타|성신여대|11290|0|서울|성신여대
0140A047|01|40|A047|서울 기타 수유|서울|기타|수유|11305|0|서울|수유
0140A049|01|40|A049|서울 기타 신림역|서울|기타|신림역|11620|0|서울|신림역
0140A050|01|40|A050|서울 기타 연신내|서울|기타|연신내|11380|0|서울|연신내
0140A051|01|40|A051|서울 기타 오류동역|서울|기타|오류동역|11530|0|서울|오류동역
0140A052|01|40|A052|서울 기타 왕십리|서울|기타|왕십리|11200|0|서울|왕십리
0140A054|01|40|A054|서울 기타 이태원|서울|기타|이태원|11170|0|서울|이태원
0140A059|01|40|A059|서울 기타 청량리|서울|기타|청량리|11230|0|서울|청량리
0140A060|01|40|A060|서울 기타 혜화동|서울|기타|혜화동|11110|0|서울|혜화동
0200B001|02|00|B001|부산  경성대/부경대|부산||경성대/부경대|26290|0|부산|경성대/부경대
0200B002|02|00|B002|부산  광안리|부산||광안리|26500|0|부산|광안리
0200B025|02|00|B025|부산  구서동/금정구청|부산||구서동/금정구청|26410|0|부산|구서동/금정구청
0200B004|02|00|B004|부산  남항동|부산||남항동|26200|0|부산|남항동
0200B005|02|00|B005|부산  덕천역|부산||덕천역|26320|0|부산|덕천역
0200B006|02|00|B006|부산  동래역|부산||동래역|26260|0|부산|동래역
0200B009|02|00|B009|부산  부산대학앞|부산||부산대학앞|26410|0|부산|부산대학앞
0200B012|02|00|B012|부산  사상역|부산||사상역|26530|0|부산|사상역
0200B013|02|00|B013|부산  사직야구장|부산||사직야구장|26260|0|부산|사직야구장
0200B016|02|00|B016|부산  송정해수욕장|부산||송정해수욕장|26350|0|부산|송정해수욕장
0200B017|02|00|B017|부산  수영역|부산||수영역|26500|0|부산|수영역
0200B019|02|00|B019|부산  온천장|부산||온천장|26260|0|부산|온천장
0200B021|02|00|B021|부산  하단역|부산||하단역|26380|0|부산|하단역
