오피스텔매매가격지수_지역코드|오피스텔매매가격지수_지역명|시군구코드현행화|시도명현행화|시군구명현행화
00020001|서울|11000|서울특별시|
000200010001|도심권|11110|서울특별시|종로구
000200010001|도심권|11140|서울특별시|중구
000200010001|도심권|11170|서울특별시|용산구
000200010002|동북권|11200|서울특별시|성동구
000200010002|동북권|11215|서울특별시|광진구
000200010002|동북권|11230|서울특별시|동대문구
000200010002|동북권|11260|서울특별시|중랑구
000200010002|동북권|11290|서울특별시|성북구
000200010002|동북권|11305|서울특별시|강북구
000200010002|동북권|11320|서울특별시|도봉구
000200010002|동북권|11350|서울특별시|노원구
000200010003|서북권|11380|서울특별시|은평구
000200010003|서북권|11410|서울특별시|서대문구
000200010003|서북권|11440|서울특별시|마포구
000200010004|서남권|11470|서울특별시|양천구
000200010004|서남권|11500|서울특별시|강서구
000200010004|서남권|11530|서울특별시|구로구
000200010004|서남권|11545|서울특별시|금천구
000200010004|서남권|11560|서울특별시|영등포구
000200010004|서남권|11590|서울특별시|동작구
000200010004|서남권|11620|서울특별시|관악구
000200010005|동남권|11650|서울특별시|서초구
000200010005|동남권|11680|서울특별시|강남구
000200010005|동남권|11710|서울특별시|송파구
000200010005|동남권|11740|서울특별시|강동구
00030001|부산|21000|부산직할시|
00030001|부산|21110|부산직할시|중구
00030001|부산|21140|부산직할시|서구
00030001|부산|21170|부산직할시|동구
00030001|부산|21200|부산직할시|영도구
00030001|부산|21230|부산직할시|부산진구
00030001|부산|21260|부산직할시|동래구
00030001|부산|21290|부산직할시|남구
00030001|부산|21320|부산직할시|북구
00030001|부산|21350|부산직할시|해운대구
00030001|부산|21380|부산직할시|사하구
00030001|부산|21410|부산직할시|금정구
00030001|부산|21440|부산직할시|강서구
00030002|대구|22000|대구직할시|
00030002|대구|22110|대구직할시|중구
00030002|대구|22140|대구직할시|동구
00030002|대구|22170|대구직할시|서구
00030002|대구|22200|대구직할시|남구
00030002|대구|22230|대구직할시|북구
00030002|대구|22260|대구직할시|수성구
00030002|대구|22290|대구직할시|달서구
00020002|인천|23000|인천직할시|
00020002|인천|23110|인천직할시|중구
00020002|인천|23140|인천직할시|동구
00020002|인천|23170|인천직할시|남구
00020002|인천|23200|인천직할시|남동구
00020002|인천|23230|인천직할시|북구
00020002|인천|23260|인천직할시|서구
00030003|광주|24000|광주직할시|
00030003|광주|24110|광주직할시|동구
00030003|광주|24140|광주직할시|서구
00030003|광주|24170|광주직할시|북구
00030003|광주|24200|광주직할시|광산구
00030004|대전|25000|대전직할시|
00030004|대전|25110|대전직할시|동구
00030004|대전|25140|대전직할시|중구
00030004|대전|25170|대전직할시|서구
00030004|대전|25200|대전직할시|유성구
00030004|대전|25230|대전직할시|대덕구
00030001|부산|26000|부산광역시|
00030001|부산|26110|부산광역시|중구
00030001|부산|26140|부산광역시|서구
00030001|부산|26170|부산광역시|동구
